Positions and Mark-to-Market Profit and Loss,Data,Stocks,USD,ETTX,ENTASIS THERAPEUTICS HOLDING,0,152,-,6.40,0.00,972.80,0.00,-22.80,-1.00,0.00,-23.80
Positions and Mark-to-Market Profit and Loss,Data,Stocks,USD,FTNW,FTE NETWORKS INC,0,180,-,4.03,0.00,725.40,-469.80,-328.68,-3.74,0.00,-802.22
Positions and Mark-to-Market Profit and Loss,Data,Stocks,USD,ICD,INDEPENDENCE CONTRACT DRILLI,0,312,-,3.26,0.00,"1,017.12",15.60,3.12,-1.56,0.00,17.16
Positions and Mark-to-Market Profit and Loss,Data,Stocks,USD,IMH,IMPAC MORTGAGE HOLDINGS INC.,0,235,-,4.20,0.00,987.00,0.00,-11.75,-1.18,0.00,-12.92
Positions and Mark-to-Market Profit and Loss,Data,Stocks,USD,KEG,KEY ENERGY SERVICES INC,0,57,-,7.06,0.00,402.42,0.00,14.82,-1.00,0.00,13.82
Positions and Mark-to-Market Profit and Loss,Data,Stocks,USD,KNSA,KINIKSA PHARMACEUTICALS-A,0,0,-,-,0.00,0.00,444.40,-422.40,-2.04,0.00,19.96
Positions and Mark-to-Market Profit and Loss,Data,Stocks,USD,LAZY,LAZYDAYS HOLDINGS INC,0,0,-,-,0.00,0.00,-74.00,-38.00,-2.04,0.00,-114.04
Positions and Mark-to-Market Profit and Loss,Data,Stocks,USD,LEVB,LEVEL BRANDS INC,0,0,-,-,0.00,0.00,73.64,-59.28,-2.67,0.00,11.69
Positions and Mark-to-Market Profit and Loss,Data,Stocks,USD,LQDA,LIQUIDIA TECHNOLOGIES INC,0,0,-,-,0.00,0.00,235.87,12.43,-2.04,0.00,246.26
Positions and Mark-to-Market Profit and Loss,Data,Stocks,USD,MBIO,MUSTANG BIO INC,0,259,-,3.74,0.00,968.66,0.00,-28.49,-1.30,0.00,-29.78
Positions and Mark-to-Market Profit and Loss,Data,Stocks,USD,MGEN,MIRAGEN THERAPEUTICS INC,0,294,-,3.37,0.00,990.78,0.00,-8.82,-1.47,0.00,-10.29
Positions and Mark-to-Market Profit and Loss,Data,Stocks,USD,MGTA,MAGENTA THERAPEUTICS INC,0,115,-,8.84,0.00,"1,016.60",205.92,-157.67,-3.70,0.00,44.55
Positions and Mark-to-Market Profit and Loss,Data,Stocks,USD,MOTS,MOTUS GI HOLDINGS INC,0,0,-,-,0.00,0.00,34.00,-29.00,-2.02,0.00,2.98
Positions and Mark-to-Market Profit and Loss,Data,Stocks,USD,RKDA,ARCADIA BIOSCIENCES INC,0,46,-,4.17,0.00,191.82,-4.60,3.22,-1.00,0.00,-2.38
Positions and Mark-to-Market Profit and Loss,Data,Stocks,USD,RMED,RA MEDICAL SYSTEMS INC,0,124,-,8.10,0.00,"1,004.40",0.00,6.20,-1.00,0.00,5.20
Positions and Mark-to-Market Profit and Loss,Data,Stocks,USD,ROSE,ROSEHILL RESOURCES INC,0,246,-,4.05,0.00,996.30,14.76,-14.76,-1.23,0.00,-1.23
Positions and Mark-to-Market Profit and Loss,Data,Stocks,USD,SBT,STERLING BANCORP INC/MI,0,47,-,8.70,0.00,408.90,0.00,-9.40,-1.00,0.00,-10.40
Positions and Mark-to-Market Profit and Loss,Data,Stocks,USD,SIC,SELECT INTERIOR CONCEPTS-A,0,134,-,8.69,0.00,"1,164.46",22.04,0.98,-2.18,0.00,20.84
Positions and Mark-to-Market Profit and Loss,Data,Stocks,USD,STRO,SUTRO BIOPHARMA INC,0,93,-,10.85,0.00,"1,009.05",0.00,13.95,-1.00,0.00,12.95
Positions and Mark-to-Market Profit and Loss,Data,Stocks,USD,SVVC,FIRSTHAND TECHNOLOGY VALUE,0,0,-,-,0.00,0.00,-62.46,83.00,-2.02,0.00,18.52
Positions and Mark-to-Market Profit and Loss,Data,Stocks,USD,TBIO,TRANSLATE BIO INC,0,0,-,-,0.00,0.00,49.50,-18.00,-2.02,0.00,29.48
Positions and Mark-to-Market Profit and Loss,Data,Stocks,USD,UROV,UROVANT SCIENCES LTD,0,121,-,8.30,0.00,"1,004.30",0.00,6.05,-1.00,0.00,5.05
Positions and Mark-to-Market Profit and Loss,Data,Total,USD,,,,,,,0.00,"18,824.85",549.32,"-1,000.30",-63.93,0.00,-514.91
